customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Flag,MonthlyCharges_INR,TotalCharges_INR,tenure_bucket,OnlineSecurity_bin,TechSupport_bin,OnlineBackup_bin,DeviceProtection_bin,StreamingTV_bin,StreamingMovies_bin,service_count,contract_num,internet_tier,charge_per_tenure,cluster,persona_code,persona_name,persona_priority,pca_1,pca_2
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,2492.475,2492.475,0–6m,0,0,1,0,0,0,1,0,1,1246.2375,3,Persona A,High-Risk New Customers,CRITICAL,-2.2976095255612807,0.5582823668955754
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,4755.325,157773.25,25–36m,1,0,0,1,0,0,2,1,1,135.86642857142857,1,Persona B,Price-Sensitive Churners,HIGH,-0.04694328199907001,-0.6603179083195059
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,4496.475,9030.525,0–6m,1,0,1,0,0,0,2,0,1,1498.825,3,Persona A,High-Risk New Customers,CRITICAL,-1.7814080753615031,1.1132491991624416
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,3532.05,153702.625,37–48m,1,1,0,1,0,0,3,1,1,76.78369565217392,1,Persona B,Price-Sensitive Churners,HIGH,0.20663257415382535,-0.9860165385232523
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,5903.45,12662.775,0–6m,0,0,0,0,0,0,0,0,2,1967.8166666666666,3,Persona A,High-Risk New Customers,CRITICAL,-1.8409262265867714,2.1905192612394258
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,8320.775,68511.75,7–12m,0,0,0,1,1,1,3,0,2,924.5305555555556,1,Persona B,Price-Sensitive Churners,HIGH,-0.1429523002408128,2.0998312402819543
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,7439.849999999999,162774.9,19–24m,0,0,1,0,1,0,2,0,2,323.47173913043474,1,Persona B,Price-Sensitive Churners,HIGH,0.16179229591133562,1.3102375551711931
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,2484.125,25208.65,7–12m,1,0,0,0,0,0,1,0,1,225.82954545454547,1,Persona B,Price-Sensitive Churners,HIGH,-1.7617273785686869,-0.18061601599336938
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,8750.8,254345.175,25–36m,0,1,0,1,1,1,4,0,2,301.75172413793103,1,Persona B,Price-Sensitive Churners,HIGH,1.2193985481865817,1.563890935882575
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,4688.525,291243.825,49–72m,1,0,1,0,0,0,2,1,1,74.42103174603174,0,Persona C,Engaged Mid-Tier,MEDIUM,0.8140924791783319,-1.1101071325117842
