time,n_risk,n_events,survival,lower_ci,upper_ci,contract
0,1473,0,1.0,1.0,1.0,One year
2,1465,2,0.9986348122866894,0.9967440505922059,1.0,One year
4,1452,1,0.9979470472644534,0.9956262796755831,1.0,One year
5,1445,1,0.9972564264704987,0.9945713714483637,0.9999414814926337,One year
7,1434,1,0.9965609896319558,0.9935516549130373,0.9995703243508743,One year
8,1420,1,0.9958591861181305,0.9925525097443096,0.9991658624919514,One year
9,1411,1,0.9951534035624124,0.9915713829080074,0.9987354242168175,One year
11,1385,1,0.994434881249371,0.9905885534254677,0.9982812090732742,One year
12,1371,5,0.9908082040748656,0.9858327421847184,0.9957836659650128,One year
13,1349,1,0.990073728015507,0.9848978834032226,0.9952495726277913,One year
14,1334,1,0.9893315438115973,0.9839590463306409,0.9947040412925536,One year
17,1299,2,0.9878083235747819,0.9820442368247254,0.9935724103248383,One year
18,1273,2,0.9862563859100925,0.9801131474582588,0.9923996243619261,One year
19,1259,3,0.9839062912653503,0.9772268300868818,0.9905857524438189,One year
21,1233,2,0.982310336210581,0.9752850203396547,0.9893356520815072,One year
22,1220,4,0.979089646583661,0.9714110159453234,0.9867682772219987,One year
23,1198,1,0.9782723764279151,0.9704348540796631,0.9861098987761671,One year
25,1152,4,0.9748755973430959,0.9663877445448482,0.9833634501413436,One year
28,1085,2,0.9730785916337077,0.9642485541632457,0.9819086291041697,One year
30,1044,1,0.9721465240172003,0.9631379470088341,0.9811551010255664,One year
31,1025,2,0.9702496527508252,0.9608829108942988,0.9796163946073516,One year
32,1009,1,0.9692880574557302,0.9597428645736498,0.9788332503378107,One year
33,990,5,0.9643926632261558,0.9539757333642733,0.9748095930880383,One year
34,967,1,0.9633953595413304,0.9528073912278765,0.9739833278547843,One year
35,949,3,0.960349852609166,0.9492486382721751,0.971451066946157,One year
36,921,1,0.9593071274706111,0.9480314087474978,0.9705828461937244,One year
37,902,1,0.9582435940698676,0.9467893150822941,0.969697873057441,One year
38,883,4,0.9539027397365952,0.9417360074734764,0.966069471999714,One year
39,862,4,0.949476276907191,0.9366159081057965,0.9623366457085856,One year
40,840,2,0.947215619105031,0.9340097312584719,0.9604215069515902,One year
41,819,4,0.9425894133951164,0.9286915711622614,0.9564872556279713,One year
42,791,2,0.9402061278998064,0.9259563149618575,0.9544559408377553,One year
43,770,3,0.9365429871417552,0.9217580621947336,0.9513279120887769,One year
44,747,2,0.9340355092645349,0.9188872537097806,0.9491837648192892,One year
45,724,3,0.930165196380842,0.9144593393966676,0.9458710533650165,One year
46,704,4,0.9248801668559509,0.9084317072048996,0.9413286265070021,One year
47,681,1,0.9235220461997747,0.9068837400812758,0.9401603523182737,One year
48,662,5,0.9165468041589909,0.8989466122827829,0.9341469960351989,One year
49,634,4,0.9107641744797544,0.8923853179041262,0.9291430310553827,One year
50,612,1,0.9092759977240685,0.8906971554120495,0.9278548400360875,One year
51,581,2,0.9061459598661544,0.8871313700828369,0.9251605496494719,One year
52,546,2,0.9028267438959487,0.883333282539941,0.9223202052519565,One year
53,519,7,0.8906498899320342,0.8694345645508542,0.9118652153132142,One year
54,483,7,0.8777419205127294,0.8547799527414047,0.900703888284054,One year
55,460,2,0.8739256512931088,0.8504622784892911,0.8973890240969266,One year
56,438,6,0.8619540670288196,0.8369329676585019,0.8869751663991373,One year
57,402,1,0.8598099026829767,0.8345005728150756,0.8851192325508779,One year
58,385,6,0.8464102678359693,0.8193192986352702,0.8735012370366684,One year
59,357,3,0.8392975765096167,0.8112640980949383,0.8673310549242951,One year
60,337,3,0.8318260847305994,0.8027951798550781,0.8608569896061207,One year
61,313,2,0.8265109020805637,0.7967455627417387,0.8562762414193886,One year
62,283,4,0.8148287691889656,0.7833593783335389,0.8462981600443924,One year
63,257,2,0.8084876892730982,0.776059276960844,0.8409161015853525,One year
64,236,2,0.8016360986860381,0.7681210255168033,0.835151171855273,One year
65,207,3,0.7900181842123275,0.7545037641015123,0.8255326043231427,One year
66,189,5,0.7691182322490384,0.7301034597226436,0.8081330047754333,One year
67,154,6,0.7391525868367382,0.6948990532749665,0.78340612039851,One year
68,120,4,0.7145141672755136,0.6655900262227982,0.7634383083282291,One year
69,95,3,0.691950561993129,0.6383209213280696,0.7455802026581884,One year
70,72,5,0.643898439632495,0.5795447102429305,0.7082521690220596,One year
72,17,2,0.5681456820286721,0.4543476736914649,0.6819436903658793,One year
