time,n_risk,n_events,survival,lower_ci,upper_ci,contract
0,1695,0,1.0,1.0,1.0,Two year
25,1537,1,0.9993493819128172,0.9980745853672536,1.0,Two year
33,1484,1,0.9986759658872695,0.9968418811684019,1.0,Two year
39,1419,1,0.9979721773278,0.9956785772725035,1.0,Two year
43,1371,1,0.997244261808232,0.9945448249701656,0.9999436986462984,Two year
46,1331,1,0.9964950174342213,0.9934240336369389,0.9995660012315037,Two year
48,1284,1,0.9957189309720451,0.9922942718556649,0.9991435900884253,Two year
49,1263,1,0.9949305549380213,0.9911761534589758,0.9986849564170668,Two year
50,1248,1,0.9941333349420773,0.9900697699592838,0.9981968999248709,Two year
52,1215,1,0.9933151182054996,0.9889498985411049,0.9976803378698942,Two year
53,1186,1,0.9924775843790193,0.9878175961176524,0.9971375726403863,Two year
54,1168,1,0.9916278604197908,0.986683196506701,0.9965725243328806,Two year
55,1140,1,0.9907580114194225,0.9855320211910374,0.9959840016478076,Two year
56,1122,1,0.9898749828887458,0.9843745201822622,0.9953754455952293,Two year
57,1097,2,0.9880702882982467,0.9820379286795718,0.9941026479169216,Two year
58,1069,1,0.9871459942960968,0.9808531255873212,0.9934388630048725,Two year
59,1043,1,0.9861995455959088,0.9796449922262123,0.9927540989656054,Two year
61,986,3,0.9831989384592073,0.9758371777847903,0.9905606991336242,Two year
64,880,2,0.9809643954172544,0.9729945419350553,0.9889342488994536,Two year
65,840,2,0.9786287659043562,0.9700456552605428,0.9872118765481697,Two year
66,798,3,0.9749497103934376,0.9654426416864842,0.984456779100391,Two year
67,755,3,0.9710757380342583,0.9606445854005982,0.9815068906679184,Two year
68,699,2,0.9682972666807983,0.9572079410249892,0.9793865923366074,Two year
69,634,2,0.9652427011707643,0.9534078479205775,0.977077554420951,Two year
70,568,5,0.956745846406937,0.9428681503645666,0.9706235424493075,Two year
71,480,5,0.9467797438401981,0.9305280938167223,0.963031393863674,Two year
72,343,4,0.9357385806467264,0.9164070959817606,0.9550700653116923,Two year
